campaign_id	iteration	regime_id	role	incumbent_id	challenger_id	challenger_lineage	scalar_fitness	delta_vs_incumbent	decision	novelty_score	artifact_path	status_note
campaign-ae7a616f76	1	toy_shifted_smoke_v1	attacker	attacker-baseline	attacker-289bd135cc	{"batch_id":"campaign-ae7a616f76-i001","generation":1,"mutation_note":"follow positive historical delta","parent_id":"attacker-baseline"}	-0.664896	0.047270	archive_interesting	0.056067	runs/portability_shifted/campaign-ae7a616f76/comparisons/iter-001/attacker-attacker-289bd135cc.json	beats incumbent but loses same-iteration comparison to attacker-deaa4dd1ad (-0.665 vs -0.650)
campaign-ae7a616f76	1	toy_shifted_smoke_v1	attacker	attacker-baseline	attacker-deaa4dd1ad	{"batch_id":"campaign-ae7a616f76-i001","generation":1,"mutation_note":"counter incumbent defender surface","parent_id":"attacker-baseline"}	-0.649976	0.062190	promote	0.034700	runs/portability_shifted/campaign-ae7a616f76/comparisons/iter-001/attacker-attacker-deaa4dd1ad.json	beats comparator by 0.062 with novelty 0.035
campaign-ae7a616f76	1	toy_shifted_smoke_v1	defender	defender-baseline	defender-756992e9e4	{"batch_id":"campaign-ae7a616f76-i001","generation":1,"mutation_note":"follow positive historical delta","parent_id":"defender-baseline"}	-0.410845	-0.026132	discard	0.031300	runs/portability_shifted/campaign-ae7a616f76/comparisons/iter-001/defender-defender-756992e9e4.json	loses comparator by 0.026 without compensating novelty
campaign-ae7a616f76	1	toy_shifted_smoke_v1	defender	defender-baseline	defender-67f0087c7d	{"batch_id":"campaign-ae7a616f76-i001","generation":1,"mutation_note":"counter incumbent attacker surface","parent_id":"defender-baseline"}	-0.383892	0.000821	archive_interesting	0.044800	runs/portability_shifted/campaign-ae7a616f76/comparisons/iter-001/defender-defender-67f0087c7d.json	informative result: delta 0.001, novelty 0.045
campaign-ae7a616f76	2	toy_shifted_smoke_v1	attacker	attacker-deaa4dd1ad	attacker-b44bf48664	{"batch_id":"campaign-ae7a616f76-i002","generation":2,"mutation_note":"follow positive historical delta","parent_id":"attacker-deaa4dd1ad"}	-0.517450	0.132526	archive_interesting	0.024633	runs/portability_shifted/campaign-ae7a616f76/comparisons/iter-002/attacker-attacker-b44bf48664.json	beats incumbent but loses same-iteration comparison to attacker-ae22962f0b (-0.517 vs -0.404)
campaign-ae7a616f76	2	toy_shifted_smoke_v1	attacker	attacker-deaa4dd1ad	attacker-ae22962f0b	{"batch_id":"campaign-ae7a616f76-i002","generation":2,"mutation_note":"counter incumbent defender surface","parent_id":"attacker-deaa4dd1ad"}	-0.403913	0.246063	promote	0.034833	runs/portability_shifted/campaign-ae7a616f76/comparisons/iter-002/attacker-attacker-ae22962f0b.json	beats comparator by 0.246 with novelty 0.035
campaign-ae7a616f76	2	toy_shifted_smoke_v1	defender	defender-baseline	defender-c17343b4d6	{"batch_id":"campaign-ae7a616f76-i002","generation":1,"mutation_note":"follow positive historical delta","parent_id":"defender-baseline"}	-0.516281	0.022479	archive_interesting	0.047333	runs/portability_shifted/campaign-ae7a616f76/comparisons/iter-002/defender-defender-c17343b4d6.json	informative result: delta 0.022, novelty 0.047
campaign-ae7a616f76	2	toy_shifted_smoke_v1	defender	defender-baseline	defender-7dc5fab0db	{"batch_id":"campaign-ae7a616f76-i002","generation":1,"mutation_note":"counter incumbent attacker surface","parent_id":"defender-baseline"}	-0.477677	0.061083	promote	0.049367	runs/portability_shifted/campaign-ae7a616f76/comparisons/iter-002/defender-defender-7dc5fab0db.json	beats comparator by 0.061 with novelty 0.049
